Pressure coefficient as a function of the angle for a cylinder with h/D=0.4. The angle is 0 at front of the cylinder and it is oriented clockwise
   \theta(degrees)   C_p
0.887525815002  0.721775373898
3.18948547243  0.655922612733
5.95261050432  0.582757055653
7.79340478729  0.524217090404
10.0963312484  0.465686524636
11.4720929421  0.385170573717
13.7750194032  0.326640007949
15.1527147043  0.260768447823
16.5323436128  0.20954127849
18.3712042883  0.136356922449
19.2877342149  0.0777981582389
20.665429516  0.0119265981131
22.5062237989  -0.0466133671357
23.8829522963  -0.119807122658
25.2596807936  -0.19300087818
26.6373760947  -0.258872438306
28.0150713958  -0.324743998432
29.3927666968  -0.390615558557
31.2325941761  -0.456477719203
32.1510577101  -0.50039209262
34.4510837601  -0.580889244577
35.8287790612  -0.646760804703
37.666672933  -0.727267356141
39.0472686452  -0.771172330078
40.4268975537  -0.822399499411
42.2686586404  -0.873617269263
43.1880889782  -0.910209447284
42.2609242106  -0.932194832434
43.1793877447  -0.976109205851
44.5570830458  -1.04198076598
45.4707125612  -1.12250611638
47.3105400404  -1.18836827702
50.5309632319  -1.2981354116
51.9047913181  -1.39329575331
54.2067509755  -1.45914851448
60.6611326106  -1.57617204809
65.746520178  -1.56142426301
69.9134442114  -1.50276210452
75.0133338346  -1.37818138849
82.8782820972  -1.31212183875
91.6597602864  -1.30462105323
99.0567755485  -1.28250407535
107.840187345  -1.26035889903
116.157599749  -1.26751190377
124.473078545  -1.28930929931
133.709921286  -1.33305448208
142.026366886  -1.34752968222
148.49621738  -1.34739808949
156.814596588  -1.34722889884
165.131042188  -1.36170409898
173.910586769  -1.36884770424
180.839669031  -1.39067329822
189.619213613  -1.39781690349
198.398758194  -1.40496050875
205.795773456  -1.38284353087
214.117053075  -1.36070775403
222.440266301  -1.3239275864
231.225611705  -1.28713801929
239.546891323  -1.26500224245
247.403138352  -1.26484245128
255.718617148  -1.28663984682
263.575830981  -1.27915786025
271.879708133  -1.38882160054
276.948660037  -1.4985511372
284.338907673  -1.5276895271
289.902863082  -1.3884550208
292.690158207  -1.27856569297
296.405584903  -1.13936878459
299.196747243  -1.00019067518
301.522876993  -0.882988551433
303.852873958  -0.736497646101
307.103268065  -0.619276723395
309.430364619  -0.494752404253
311.296295799  -0.362915289195
314.086491335  -0.231059375176
316.414554693  -0.0992128606379
318.741651247  0.025311458504
321.532813587  0.164489567919
323.859910141  0.289013887061
326.647205266  0.398903214891
329.89953298  0.53076852839
333.61592648  0.677287632163
338.254650729  0.809181144105
344.279771512  0.941102854488
350.759290044  1.01445640118
356.301008967  0.985280413362
359.060266784  0.882826074696
