#             x               p
           -0.5      0.63233996


    -0.49607843      0.60142712


    -0.49215686       0.5711768


    -0.48823529      0.54405281


    -0.48431373      0.51783721


    -0.48039216      0.49153192


    -0.47647059      0.46613964


    -0.47254902       0.4406828
    -0.46862745      0.41295943


    -0.46470588      0.38569813


    -0.46078431      0.35902318
    -0.45686275      0.33229156


    -0.45294118      0.30574567
    -0.44901961      0.27957488


    -0.44509804      0.25355864


    -0.44117647      0.22822913
     -0.4372549      0.20289818


    -0.43333333      0.17821148
    -0.42941176      0.15380955


     -0.4254902      0.12994018
    -0.42156863      0.10574345
    -0.41764706     0.082012555


    -0.41372549     0.058105969
    -0.40980392     0.034494073


    -0.40588235     0.011405812
    -0.40196078    -0.011249627


    -0.39803922    -0.033619898
    -0.39411765    -0.055777248
    -0.39019608    -0.077682603


    -0.38627451     -0.09955452
    -0.38235294     -0.12128643


    -0.37843137     -0.14276517
     -0.3745098     -0.16380033
    -0.37058824     -0.18467801


    -0.36666667     -0.20518206
     -0.3627451     -0.22532309
    -0.35882353     -0.24534932


    -0.35490196     -0.26481087
    -0.35098039     -0.28400722
    -0.34705882      -0.3031235


    -0.34313725     -0.32147996
    -0.33921569     -0.33967285
    -0.33529412     -0.35781691


    -0.33137255     -0.37575417
    -0.32745098     -0.39365305
    -0.32352941     -0.41153023


    -0.31960784     -0.42847636
    -0.31568627     -0.44529982
    -0.31176471     -0.46212243


    -0.30784314     -0.47772349
    -0.30392157     -0.49298549
           -0.3     -0.50827602


    -0.29607843     -0.52335122
    -0.29215686     -0.53828395
    -0.28823529     -0.55325325


    -0.28431373     -0.56834293
    -0.28039216     -0.58365958
    -0.27647059     -0.59901617
    -0.27254902     -0.61441196


    -0.26862745     -0.62899329
    -0.26470588     -0.64360399
    -0.26078431     -0.65827012


    -0.25686275     -0.67169388
    -0.25294118     -0.68416868
    -0.24901961     -0.69671733


    -0.24509804      -0.7092658
    -0.24117647     -0.72110057
     -0.2372549     -0.73301621
