#             x               p
           -0.5      0.61817888


    -0.49607843       0.5915368


    -0.49215686       0.5627578


    -0.48823529       0.5365091


    -0.48431373      0.51096069


    -0.48039216      0.48531282


    -0.47647059      0.46014296


    -0.47254902      0.43401681
    -0.46862745      0.40642145


    -0.46470588      0.37957021


    -0.46078431      0.35318627
    -0.45686275      0.32586395


    -0.45294118      0.29889658
    -0.44901961      0.27241562


    -0.44509804      0.24600937


    -0.44117647      0.22028266
     -0.4372549       0.1944605


    -0.43333333      0.16928662
    -0.42941176      0.14433426


     -0.4254902      0.11992328
    -0.42156863     0.095119335
    -0.41764706     0.070791994


    -0.41372549     0.046221196
    -0.40980392     0.021942783


    -0.40588235   -0.0018338248
    -0.40196078    -0.025190598


    -0.39803922    -0.048263201
    -0.39411765    -0.071150638
    -0.39019608    -0.093778232


    -0.38627451     -0.11641873
    -0.38235294     -0.13893141


    -0.37843137     -0.16119127
     -0.3745098     -0.18304065
    -0.37058824     -0.20472639


    -0.36666667     -0.22605156
     -0.3627451     -0.24702859
    -0.35882353     -0.26788584


    -0.35490196     -0.28819689
    -0.35098039     -0.30824775
    -0.34705882     -0.32821457


    -0.34313725     -0.34743247
    -0.33921569     -0.36648616
    -0.33529412      -0.3854881


    -0.33137255     -0.40428258
    -0.32745098     -0.42303678
    -0.32352941     -0.44176726


    -0.31960784     -0.45959357
    -0.31568627      -0.4772996
    -0.31176471     -0.49500343


    -0.30784314     -0.51146984
    -0.30392157     -0.52759219
           -0.3     -0.54374254


    -0.29607843     -0.55968566
    -0.29215686     -0.57549239
    -0.28823529     -0.59133552


    -0.28431373     -0.60732654
    -0.28039216     -0.62360602
    -0.27647059     -0.63992542
    -0.27254902     -0.65628397


    -0.26862745     -0.67176063
    -0.26470588     -0.68726618
    -0.26078431     -0.70282877


    -0.25686275     -0.71710102
    -0.25294118     -0.73038789
    -0.24901961      -0.7437514


    -0.24509804     -0.75712307
    -0.24117647     -0.76984455
     -0.2372549     -0.78264955
    -0.23333333     -0.79553685


    -0.22941176     -0.80819448
     -0.2254902     -0.82069317
    -0.22156863     -0.83329512
    -0.21764706     -0.84599897


    -0.21372549     -0.85683133
    -0.20980392     -0.86767351
    -0.20588235     -0.87862901


    -0.20196078     -0.88935502
    -0.19803922     -0.89938987
    -0.19411765     -0.90954031
    -0.19019608     -0.91980509


    -0.18627451     -0.92929708
    -0.18235294     -0.93830662
    -0.17843137     -0.94744104
     -0.1745098     -0.95669911


    -0.17058824     -0.96414082
    -0.16666667     -0.97135609
     -0.1627451       -0.978708


    -0.15882353     -0.98618383
    -0.15490196     -0.99354987
    -0.15098039      -1.0010349
    -0.14705882      -1.0086378


    -0.14313725      -1.0161689
    -0.13921569       -1.023116
    -0.13529412      -1.0301951
    -0.13137255      -1.0374052


    -0.12745098      -1.0437718
    -0.12352941      -1.0483595
    -0.11960784      -1.0530814
    -0.11568627      -1.0579366


    -0.11176471      -1.0624605
    -0.10784314      -1.0665147
    -0.10392157      -1.0707128
           -0.1      -1.0750538


   -0.096078431      -1.0787415
   -0.092156863      -1.0817602
   -0.088235294      -1.0849113
   -0.084313725      -1.0881943


   -0.080392157      -1.0903662
   -0.076470588      -1.0916045
    -0.07254902      -1.0929761
   -0.068627451      -1.0944804


   -0.064705882      -1.0953176
   -0.060784314       -1.095653
   -0.056862745      -1.0961206
   -0.052941176      -1.0967198


   -0.049019608      -1.0981439
   -0.045098039      -1.1002304
   -0.041176471      -1.1024318
   -0.037254902      -1.1047479


   -0.033333333      -1.1065336
   -0.029411765      -1.1079312
   -0.025490196      -1.1094752
   -0.021568627      -1.1111654


   -0.017647059      -1.1100209
    -0.01372549      -1.1063839
  -0.0098039216      -1.1028883
  -0.0058823529       -1.099534


  -0.0019607843      -1.0960284
   0.0019607843      -1.0923657
   0.0058823529      -1.0888264
   0.0098039216      -1.0854107


     0.01372549      -1.0828142
    0.017647059       -1.081109
    0.021568627      -1.0795508
    0.025490196      -1.0781396


    0.029411765      -1.0753951
    0.033333333      -1.0710311
    0.037254902      -1.0667881
    0.041176471      -1.0626662


    0.045098039      -1.0583662
    0.049019608      -1.0538166
    0.052941176      -1.0493957
    0.056862745      -1.0451038


    0.060784314      -1.0402394
    0.064705882      -1.0346005
    0.068627451      -1.0290814
     0.07254902      -1.0236823


    0.076470588      -1.0171336
    0.080392157      -1.0091379
    0.084313725      -1.0012446
    0.088235294     -0.99345397


    0.092156863     -0.98660429
    0.096078431     -0.98077795
            0.1     -0.97506928
     0.10392157     -0.96947883


     0.10784314     -0.96214195
     0.11176471     -0.95326753
     0.11568627     -0.94449165
     0.11960784     -0.93581488


     0.12352941     -0.92622298
     0.12745098     -0.91607894
     0.13137255     -0.90602604
     0.13529412     -0.89606486


     0.13921569     -0.88674974
     0.14313725     -0.87771832
     0.14705882     -0.86875411
     0.15098039     -0.85985761


     0.15490196     -0.85045181
     0.15882353     -0.84103299
      0.1627451     -0.83169097


     0.16666667     -0.82235979
     0.17058824     -0.81184774
      0.1745098     -0.80141139
     0.17843137     -0.79105144


     0.18235294     -0.78026185
     0.18627451      -0.7682194
     0.19019608      -0.7562522
     0.19411765     -0.74436104


     0.19803922     -0.73203825
     0.20196078     -0.71936152
     0.20588235     -0.70674741
     0.20980392     -0.69419662


     0.21372549     -0.68100605
     0.21764706     -0.66777632
     0.22156863     -0.65461386


      0.2254902     -0.64121507
     0.22941176     -0.62692021
     0.23333333      -0.6126534
      0.2372549     -0.59841502


     0.24117647     -0.58378297
     0.24509804     -0.56896126
     0.24901961     -0.55414831


     0.25294118     -0.53953602
     0.25686275     -0.52586381
     0.26078431     -0.51218959
     0.26470588     -0.49851333


     0.26862745     -0.48428085
     0.27254902      -0.4698239
     0.27647059     -0.45534826


     0.28039216     -0.44087188
     0.28431373     -0.42640309
     0.28823529     -0.41190429


     0.29215686     -0.39739714
     0.29607843     -0.38330932
            0.3     -0.36918149
     0.30392157     -0.35501277


     0.30784314      -0.3405863
     0.31176471     -0.32606102
     0.31568627     -0.31148352


     0.31960784      -0.2971953
     0.32352941     -0.28301522
     0.32745098     -0.26876547


     0.33137255     -0.25503103
     0.33529412     -0.24162238
     0.33921569     -0.22812969


     0.34313725     -0.21526599
     0.34705882     -0.20278095
     0.35098039     -0.19019844


     0.35490196     -0.17915774
     0.35882353     -0.16872391
      0.3627451     -0.15819259


     0.36666667     -0.15000208
     0.37058824     -0.14203904


      0.3745098     -0.13440249
     0.37843137     -0.12872837
     0.38235294     -0.12299433


     0.38627451     -0.11874859
     0.39019608     -0.11577482


     0.39411765     -0.11280474
     0.39803922     -0.11200228
     0.40196078     -0.11119674


     0.40588235     -0.11076133
     0.40980392     -0.11059166


     0.41372549      -0.1104259
     0.41764706     -0.11025976


     0.42156863     -0.11009181
      0.4254902     -0.10980566
     0.42941176      -0.1095205


     0.43333333      -0.1092633
      0.4372549     -0.10900949


     0.44117647     -0.10894086


     0.44509804     -0.10890307
     0.44901961     -0.10913192


     0.45294118      -0.1093993
     0.45686275     -0.10974651


     0.46078431     -0.11007627


     0.46470588     -0.11040037
     0.46862745     -0.11066594


     0.47254902     -0.11078507


     0.47647059     -0.11062509


     0.48039216     -0.10992779


     0.48431373     -0.10841418


     0.48823529     -0.10648363


     0.49215686      -0.1031291


     0.49607843    -0.098218304


            0.5    -0.091852586
