#             x               p
           -0.5      0.61817888


    -0.49607843       0.5814263


    -0.49215686      0.55221776


    -0.48823529      0.52223407


    -0.48431373      0.49235134


    -0.48039216      0.46273619


    -0.47647059      0.43444194


    -0.47254902      0.40733127
    -0.46862745      0.37940052


    -0.46470588      0.35145841


    -0.46078431      0.32394336
    -0.45686275      0.29650308


    -0.45294118      0.26961776
    -0.44901961      0.24332522


    -0.44509804      0.21720897


    -0.44117647      0.19173612
     -0.4372549      0.16465687


    -0.43333333      0.13831334
    -0.42941176      0.11223505


     -0.4254902     0.086738914
    -0.42156863     0.062346026
    -0.41764706     0.038408774


    -0.41372549     0.013598987
    -0.40980392    -0.011008137


    -0.40588235    -0.035909995
    -0.40196078    -0.060920718


    -0.39803922    -0.085617446
    -0.39411765     -0.11015695
    -0.39019608     -0.13443457


    -0.38627451     -0.15738623
    -0.38235294     -0.17977082


    -0.37843137     -0.20187145
     -0.3745098     -0.22315796
    -0.37058824     -0.24430959


    -0.36666667     -0.26547031
     -0.3627451     -0.28665819
    -0.35882353     -0.30773102


    -0.35490196      -0.3284064
    -0.35098039     -0.34887731
    -0.34705882     -0.36926222


    -0.34313725     -0.38908533
    -0.33921569     -0.40876948
    -0.33529412     -0.42839613


    -0.33137255     -0.44742622
    -0.32745098     -0.46637045
    -0.32352941      -0.4852816


    -0.31960784     -0.50443373
    -0.31568627     -0.52360736
    -0.31176471     -0.54276765


    -0.30784314     -0.56155787
    -0.30392157      -0.5802596
           -0.3      -0.5989831


    -0.29607843     -0.61597627
    -0.29215686     -0.63173593
    -0.28823529     -0.64754709


    -0.28431373     -0.66289557
    -0.28039216     -0.67716368
    -0.27647059     -0.69149849
    -0.27254902     -0.70589874


    -0.26862745     -0.72100564
    -0.26470588     -0.73620478
    -0.26078431      -0.7514749


    -0.25686275     -0.76592218
    -0.25294118     -0.77975707
    -0.24901961     -0.79368547


    -0.24509804     -0.80758432
    -0.24117647     -0.82027062
     -0.2372549     -0.83307623
    -0.23333333     -0.84599942


    -0.22941176     -0.85861573
     -0.2254902      -0.8709919
    -0.22156863     -0.88347629
    -0.21764706      -0.8960675


    -0.21372549     -0.90737419
    -0.20980392     -0.91872012
    -0.20588235     -0.93017779


    -0.20196078     -0.94131696
    -0.19803922     -0.95156393
    -0.19411765     -0.96193551
    -0.19019608     -0.97243036


    -0.18627451     -0.98149359
    -0.18235294     -0.98963641
    -0.17843137     -0.99792492
     -0.1745098      -1.0063577


    -0.17058824      -1.0156996
    -0.16666667      -1.0253146
     -0.1627451      -1.0350571


    -0.15882353      -1.0448337
    -0.15490196      -1.0528484
    -0.15098039      -1.0609982
    -0.14705882      -1.0692821


    -0.14313725      -1.0768922
    -0.13921569      -1.0816126
    -0.13529412      -1.0864801
    -0.13137255      -1.0914937


    -0.12745098      -1.0966521
    -0.12352941      -1.1019547
    -0.11960784      -1.1074012
    -0.11568627      -1.1129908


    -0.11176471      -1.1182078
    -0.10784314       -1.122893
    -0.10392157      -1.1277251
           -0.1      -1.1327032


   -0.096078431      -1.1366957
   -0.092156863      -1.1396972
   -0.088235294      -1.1428519
   -0.084313725      -1.1461591


   -0.080392157      -1.1499183
   -0.076470588      -1.1540887
    -0.07254902      -1.1584131
   -0.068627451       -1.162891


   -0.064705882        -1.16652
   -0.060784314      -1.1695211
   -0.056862745      -1.1726922
   -0.052941176      -1.1760326


   -0.049019608       -1.177484
   -0.045098039      -1.1774901
   -0.041176471      -1.1776645
   -0.037254902      -1.1780067


   -0.033333333       -1.177132
   -0.029411765      -1.1752912
   -0.025490196      -1.1736161
   -0.021568627      -1.1721063


   -0.017647059      -1.1707284
    -0.01372549      -1.1694764
  -0.0098039216      -1.1683769
  -0.0058823529      -1.1674298


  -0.0019607843      -1.1660266
   0.0019607843      -1.1641856
   0.0058823529      -1.1625002
   0.0098039216      -1.1609707


     0.01372549      -1.1574806
    0.017647059      -1.1518549
    0.021568627      -1.1463743
    0.025490196      -1.1410388


    0.029411765      -1.1362593
    0.033333333      -1.1320994
    0.037254902      -1.1280709
    0.041176471       -1.124174


    0.045098039      -1.1203491
    0.049019608      -1.1165765
    0.052941176      -1.1129299
    0.056862745      -1.1094094


    0.060784314      -1.1047875
    0.064705882       -1.098725
    0.068627451      -1.0927924
     0.07254902      -1.0869899


    0.076470588      -1.0807325
    0.080392157      -1.0738863
    0.084313725      -1.0671665
    0.088235294      -1.0605739


    0.092156863      -1.0537354
    0.096078431      -1.0466191
            0.1      -1.0396309
     0.10392157      -1.0327715


     0.10784314      -1.0248935
     0.11176471      -1.0161251
     0.11568627      -1.0074736
     0.11960784     -0.99893943


     0.12352941     -0.99003718
     0.12745098     -0.98094157
     0.13137255     -0.97196136
     0.13529412     -0.96309731


     0.13921569      -0.9531972
     0.14313725      -0.9429566
     0.14705882     -0.93281824
     0.15098039      -0.9227829


     0.15490196     -0.91080433
     0.15882353     -0.89861747
      0.1627451     -0.88653777


     0.16666667     -0.87457306
     0.17058824      -0.8628295
      0.1745098     -0.85116046
     0.17843137     -0.83956661


     0.18235294     -0.82772788
     0.18627451      -0.8151117
     0.19019608     -0.80255231
     0.19411765      -0.7900503


     0.19803922     -0.77740908
     0.20196078     -0.76466385
     0.20588235     -0.75197795
     0.20980392     -0.73935206


     0.21372549     -0.72556736
     0.21764706     -0.71165061
     0.22156863     -0.69778445


      0.2254902      -0.6835236
     0.22941176     -0.66792037
     0.23333333     -0.65233957
      0.2372549     -0.63678151


     0.24117647     -0.62297926
     0.24509804     -0.61001937
     0.24901961     -0.59707388


     0.25294118     -0.58410427
     0.25686275     -0.57095602
     0.26078431     -0.55781562
     0.26470588      -0.5446832


     0.26862745     -0.53011415
     0.27254902     -0.51500376
     0.27647059     -0.49989414


     0.28039216     -0.48454434
     0.28431373     -0.46874497
     0.28823529     -0.45293823


     0.29215686      -0.4371673
     0.29607843     -0.42225484
            0.3     -0.40729996
     0.30392157     -0.39230173


     0.30784314     -0.37765998
     0.31176471     -0.36305777
     0.31568627     -0.34840323


     0.31960784      -0.3330926
     0.32352941     -0.31740981
     0.32745098     -0.30165631


     0.33137255     -0.28679528
     0.33529412     -0.27251872
     0.33921569     -0.25815465


     0.34313725     -0.24450189
     0.34705882     -0.23128082
     0.35098039     -0.21795851


     0.35490196     -0.20554165
     0.35882353     -0.19345104
      0.3627451     -0.18125139


     0.36666667     -0.17082418
     0.37058824     -0.16052735


      0.3745098     -0.15058203
     0.37843137     -0.14283803
     0.38235294     -0.13500603


     0.38627451     -0.12863456
     0.39019608     -0.12350402


     0.39411765     -0.11834818
     0.39803922     -0.11568398
     0.40196078     -0.11298638


     0.40588235      -0.1114544
     0.40980392     -0.11075496


     0.41372549     -0.11024283
     0.41764706     -0.11027067


     0.42156863     -0.11029979
      0.4254902     -0.11022331
     0.42941176      -0.1101498


     0.43333333     -0.11001355
      0.4372549     -0.10987327


     0.44117647     -0.10978224


     0.44509804     -0.10971237
     0.44901961       -0.109979


     0.45294118     -0.11031027
     0.45686275     -0.11079619


     0.46078431     -0.11117935


     0.46470588     -0.11149699
     0.46862745     -0.11180073


     0.47254902      -0.1119444


     0.47647059      -0.1118543


     0.48039216     -0.11135213


     0.48431373     -0.10996823


     0.48823529     -0.10784655


     0.49215686     -0.10493616


     0.49607843     -0.10006835


            0.5    -0.091852586
