#             x               p
           -0.5      0.64494105


    -0.49607843      0.61402318


    -0.49215686      0.58306832


    -0.48823529      0.55527774


    -0.48431373      0.52839781


    -0.48039216      0.50141627


    -0.47647059      0.47537592


    -0.47254902      0.44927586
    -0.46862745      0.42085316


    -0.46470588      0.39291059


    -0.46078431      0.36557611
    -0.45686275      0.33820001


    -0.45294118      0.31102038
    -0.44901961      0.28422894


    -0.44509804      0.25760381


    -0.44117647      0.23168318
     -0.4372549      0.20577057


    -0.43333333      0.18051798
    -0.42941176      0.15556491


     -0.4254902      0.13115684
    -0.42156863      0.10642244
    -0.41764706     0.082164385


    -0.41372549     0.057732507
    -0.40980392     0.033602836


    -0.40588235     0.010010632
    -0.40196078      -0.0131376


    -0.39803922    -0.035993794
    -0.39411765    -0.058630375
    -0.39019608    -0.081009329


    -0.38627451     -0.10335354
    -0.38235294     -0.12555437


    -0.37843137     -0.14749681
     -0.3745098     -0.16898826
    -0.37058824     -0.19031856


    -0.36666667       -0.211269
     -0.3627451     -0.23185047
    -0.35882353     -0.25231433


    -0.35490196      -0.2722056
    -0.35098039     -0.29182733
    -0.34705882     -0.31136684


    -0.34313725     -0.33013695
    -0.33921569     -0.34874065
    -0.33529412     -0.36729397


    -0.33137255     -0.38564253
    -0.32745098     -0.40395195
    -0.32352941      -0.4222386


    -0.31960784     -0.43958687
    -0.31568627     -0.45681097
    -0.31176471     -0.47403363


    -0.30784314     -0.49001669
    -0.30392157     -0.50565549
           -0.3     -0.52132293


    -0.29607843     -0.53677132
    -0.29215686     -0.55207477
    -0.28823529     -0.56741511


    -0.28431373     -0.58288099
    -0.28039216     -0.59858494
    -0.27647059     -0.61432919
    -0.27254902     -0.63011299


    -0.26862745     -0.64507876
    -0.26470588     -0.66007442
    -0.26078431     -0.67512612


    -0.25686275     -0.68891188
    -0.25294118     -0.70173061
    -0.24901961     -0.71462421


    -0.24509804     -0.72751682
    -0.24117647     -0.73967724
     -0.2372549     -0.75191977
    -0.23333333     -0.76424321


    -0.22941176     -0.77633654
     -0.2254902     -0.78826937
    -0.22156863     -0.80030287
    -0.21764706     -0.81243572


    -0.21372549     -0.82270898
    -0.20980392     -0.83298912
    -0.20588235     -0.84337887


    -0.20196078     -0.85351465
    -0.19803922     -0.86290576
    -0.19411765     -0.87240775
    -0.19019608     -0.88201943


    -0.18627451     -0.89075709
    -0.18235294     -0.89893855
    -0.17843137      -0.9072365
     -0.1745098     -0.91564979


    -0.17058824     -0.92252837
    -0.16666667     -0.92922573
     -0.1627451     -0.93605069


    -0.15882353     -0.94299389
    -0.15490196     -0.94988632
    -0.15098039     -0.95689045
    -0.14705882     -0.96400539


    -0.14313725     -0.97087981
    -0.13921569     -0.97655258
    -0.13529412     -0.98234335
    -0.13137255     -0.98825129


    -0.12745098     -0.99382996
    -0.12352941     -0.99864886
    -0.11960784      -1.0035826
    -0.11568627      -1.0086304


    -0.11176471      -1.0139031
    -0.10784314      -1.0194486
    -0.10392157      -1.0251249
           -0.1      -1.0309313


   -0.096078431      -1.0359927
   -0.092156863      -1.0403069
   -0.088235294       -1.044759
   -0.084313725      -1.0493486


   -0.080392157      -1.0523132
   -0.076470588       -1.053906
    -0.07254902      -1.0556401
   -0.068627451      -1.0575151


   -0.064705882      -1.0594834
   -0.060784314      -1.0615684
   -0.056862745      -1.0638107
   -0.052941176        -1.06621


   -0.049019608      -1.0672735
   -0.045098039      -1.0673121
   -0.041176471      -1.0674929
   -0.037254902      -1.0678156


   -0.033333333      -1.0672151
   -0.029411765      -1.0658942
   -0.025490196      -1.0647261
   -0.021568627      -1.0637106


   -0.017647059       -1.061407
    -0.01372549      -1.0579592
  -0.0098039216      -1.0546334
  -0.0058823529      -1.0514296


  -0.0019607843      -1.0484088
   0.0019607843      -1.0455658
   0.0058823529      -1.0428397
   0.0098039216      -1.0402305


     0.01372549      -1.0389322
    0.017647059      -1.0390608
    0.021568627      -1.0393357
    0.025490196      -1.0397572


    0.029411765      -1.0380138
    0.033333333      -1.0336812
    0.037254902      -1.0294849
    0.041176471      -1.0254249


    0.045098039       -1.020961
    0.049019608      -1.0159556
    0.052941176      -1.0110883
    0.056862745      -1.0063593


    0.060784314      -1.0012065
    0.064705882     -0.99546422
    0.068627451     -0.98984786
     0.07254902      -0.9843578


    0.076470588     -0.97780454
    0.080392157     -0.96990801
    0.084313725      -0.9621191
    0.088235294     -0.95443823


    0.092156863     -0.94760936
    0.096078431     -0.94170429
            0.1     -0.93591885
     0.10392157     -0.93025359


     0.10784314     -0.92389573
     0.11176471     -0.91692796
     0.11568627      -0.9100614
     0.11960784     -0.90329662


     0.12352941     -0.89537277
     0.12745098     -0.88675281
     0.13137255     -0.87823913
     0.13529412     -0.86983244


     0.13921569      -0.8601733
     0.14313725     -0.85008173
     0.14705882      -0.8400797
     0.15098039     -0.83016791


     0.15490196     -0.81900587
     0.15882353     -0.80772253
      0.1627451     -0.79652411


     0.16666667      -0.7854463
     0.17058824     -0.77510635
      0.1745098     -0.76483786
     0.17843137     -0.75464149


     0.18235294     -0.74399586
     0.18627451     -0.73205069
     0.19019608     -0.72017281
     0.19411765     -0.70836291


     0.19803922      -0.6963221
     0.20196078     -0.68409301
     0.20588235     -0.67192031
     0.20980392     -0.65980464


     0.21372549     -0.64781291
     0.21764706     -0.63589135
     0.22156863     -0.62403091


      0.2254902     -0.61183852
     0.22941176     -0.59847307
     0.23333333     -0.58513753
      0.2372549     -0.57183232


     0.24117647     -0.55857515
     0.24509804     -0.54534433
     0.24901961     -0.53212937


     0.25294118     -0.51900637
     0.25686275     -0.50626419
     0.26078431     -0.49352757
     0.26470588      -0.4807966


     0.26862745     -0.46704285
     0.27254902     -0.45289078
     0.27647059     -0.43872404


     0.28039216     -0.42468222
     0.28431373     -0.41087609
     0.28823529     -0.39704334


     0.29215686     -0.38322029
     0.29607843     -0.37011781
            0.3     -0.35698053
     0.30392157      -0.3438077


     0.30784314      -0.3303389
     0.31176471     -0.31676701
     0.31568627      -0.3031486


     0.31960784     -0.28973424
     0.32352941     -0.27638788
     0.32745098     -0.26297807


     0.33137255     -0.25001069
     0.33529412     -0.23732068
     0.33921569     -0.22455313


     0.34313725      -0.2123102
     0.34705882     -0.20037898
     0.35098039     -0.18835669


     0.35490196     -0.17772289
     0.35882353     -0.16763292
      0.3627451     -0.15745074


     0.36666667     -0.14935489
     0.37058824     -0.14145576


      0.3745098     -0.13385426
     0.37843137     -0.12806259
     0.38235294     -0.12221006


     0.38627451     -0.11781667
     0.39019608     -0.11466963


     0.39411765     -0.11152464
     0.39803922     -0.11057774
     0.40196078     -0.10962619


     0.40588235     -0.10909435
     0.40980392     -0.10886384


     0.41372549     -0.10864345
     0.41764706     -0.10844029


     0.42156863     -0.10823528
      0.4254902     -0.10790438
     0.42941176     -0.10757381


     0.43333333     -0.10723617
      0.4372549     -0.10689691


     0.44117647     -0.10666576


     0.44509804     -0.10645015
     0.44901961     -0.10639824


     0.45294118     -0.10634678
     0.45686275     -0.10628323


     0.46078431     -0.10615373


     0.46470588     -0.10597209
     0.46862745      -0.1056991


     0.47254902     -0.10527378


     0.47647059     -0.10459115


     0.48039216     -0.10345518


     0.48431373     -0.10167212


     0.48823529    -0.099615243


     0.49215686    -0.096478186


     0.49607843    -0.092238043


            0.5    -0.086766285
