#             x               p
           -0.5      0.63472092


    -0.49607843      0.59897314


    -0.49215686      0.56982137


    -0.48823529      0.53960081


    -0.48431373      0.50943993


    -0.48039216      0.47956591


    -0.47647059      0.45112054


    -0.47254902      0.42399522
    -0.46862745       0.3961517


    -0.46470588      0.36832916


    -0.46078431      0.34095347
    -0.45686275      0.31367051


    -0.45294118       0.2869653
    -0.44901961      0.26086785


    -0.44509804       0.2350283


    -0.44117647      0.20984826
     -0.4372549      0.18325724


    -0.43333333      0.15740558
    -0.42941176      0.13194732


     -0.4254902      0.10706199
    -0.42156863     0.083318828
    -0.41764706     0.060021502


    -0.41372549     0.035912404
    -0.40980392     0.012007741


    -0.40588235    -0.012135947
    -0.40196078    -0.036352788


    -0.39803922    -0.060241606
    -0.39411765    -0.083894918
    -0.39019608     -0.10729539


    -0.38627451      -0.1293593
    -0.38235294      -0.1508557


    -0.37843137     -0.17207587
     -0.3745098     -0.19249657
    -0.37058824     -0.21278738


    -0.36666667     -0.23306608
     -0.3627451     -0.25334932
    -0.35882353     -0.27352259


    -0.35490196     -0.29321091
    -0.35098039     -0.31266375
    -0.34705882     -0.33203595


    -0.34313725     -0.35076797
    -0.33921569     -0.36935191
    -0.33529412     -0.38788271


    -0.33137255     -0.40587066
    -0.32745098     -0.42377978
    -0.32352941     -0.44165805


    -0.31960784     -0.45977818
    -0.31568627      -0.4779211
    -0.31176471     -0.49605207


    -0.30784314     -0.51372523
    -0.30392157     -0.53128358
           -0.3     -0.54886388


    -0.29607843     -0.56480801
    -0.29215686     -0.57958601
    -0.28823529      -0.5944139


    -0.28431373     -0.60878609
    -0.28039216     -0.62209474
    -0.27647059     -0.63546753
    -0.27254902     -0.64890326


    -0.26862745     -0.66289975
    -0.26470588     -0.67698146
    -0.26078431     -0.69113168


    -0.25686275     -0.70459629
    -0.25294118     -0.71755377
    -0.24901961     -0.73059976


    -0.24509804      -0.7436181
    -0.24117647      -0.7554929
     -0.2372549     -0.76748121
    -0.23333333     -0.77958139


    -0.22941176     -0.79127265
     -0.2254902     -0.80263876
    -0.22156863     -0.81410833
    -0.21764706     -0.82568003


    -0.21372549     -0.83588821
    -0.20980392     -0.84612637
    -0.20588235     -0.85647103


    -0.20196078     -0.86649859
    -0.19803922     -0.87564264
    -0.19411765     -0.88490361
    -0.19019608     -0.89428023


    -0.18627451     -0.90274091
    -0.18235294     -0.91062851
    -0.17843137     -0.91865076
     -0.1745098     -0.92680636


    -0.17058824       -0.935446
    -0.16666667     -0.94427338
     -0.1627451     -0.95322074


    -0.15882353     -0.96217728
    -0.15490196     -0.96900489
    -0.15098039     -0.97595984
    -0.14705882     -0.98304113


    -0.14313725     -0.98957677
    -0.13921569     -0.99372336
    -0.13529412     -0.99800572
    -0.13137255      -1.0024229


    -0.12745098       -1.006878
    -0.12352941      -1.0112785
    -0.11960784      -1.0158129
    -0.11568627      -1.0204803


    -0.11176471       -1.024915
    -0.10784314      -1.0290032
    -0.10392157      -1.0332253
           -0.1      -1.0375806


   -0.096078431      -1.0410475
   -0.092156863      -1.0436208
   -0.088235294      -1.0463336
   -0.084313725      -1.0491852


   -0.080392157       -1.052241
   -0.076470588      -1.0554937
    -0.07254902      -1.0588867
   -0.068627451      -1.0624197


   -0.064705882      -1.0651514
   -0.060784314      -1.0672864
   -0.056862745      -1.0695729
   -0.052941176      -1.0720105


   -0.049019608      -1.0719697
   -0.045098039      -1.0700115
   -0.041176471      -1.0681963
   -0.037254902      -1.0665238


   -0.033333333      -1.0652428
   -0.029411765      -1.0643033
   -0.025490196         -1.0635
   -0.021568627      -1.0628327


   -0.017647059      -1.0618981
    -0.01372549      -1.0607342
  -0.0098039216      -1.0596947
  -0.0058823529      -1.0587797


  -0.0019607843      -1.0578291
   0.0019607843      -1.0568569
   0.0058823529      -1.0560226
   0.0098039216      -1.0553259


     0.01372549      -1.0535704
    0.017647059       -1.050657
    0.021568627      -1.0478752
    0.025490196      -1.0452253


    0.029411765      -1.0415706
    0.033333333      -1.0367071
    0.037254902      -1.0319767
    0.041176471      -1.0273796


    0.045098039      -1.0231934
    0.049019608      -1.0194807
    0.052941176      -1.0158901
    0.056862745      -1.0124218


    0.060784314      -1.0075964
    0.064705882      -1.0009999
    0.068627451     -0.99452197
     0.07254902     -0.98816301


    0.076470588     -0.98173714
    0.080392157     -0.97519974
    0.084313725     -0.96877789
    0.088235294     -0.96247207


    0.092156863     -0.95545157
    0.096078431     -0.94764012
            0.1     -0.93993887
     0.10392157     -0.93234835


     0.10784314     -0.92426338
