# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.00091398861   	-5.42315582e-05	1.22046419e+00	-2.63472895e-02	-1.32278763e-02	-1.31194132e-02
0.0010968374    	-5.47433872e-05	1.14095116e+00	-2.06408594e-02	-1.03751731e-02	-1.02656863e-02
0.0013162511    	-5.52589180e-05	1.06097813e+00	-1.91393508e-02	-9.62493432e-03	-9.51441648e-03
0.0015795476    	-5.59244992e-05	9.79366900e-01	-2.49145974e-02	-1.25132232e-02	-1.24013742e-02
0.0018955034    	-5.68087972e-05	8.94840234e-01	-2.54403425e-02	-1.27769800e-02	-1.26633624e-02
0.002274636     	-5.79813558e-05	8.06522376e-01	-2.76556216e-02	-1.38857922e-02	-1.37698294e-02
0.002729595     	-5.93496775e-05	7.12281876e-01	-2.80657453e-02	-1.40922223e-02	-1.39735229e-02
0.0032755061    	-6.09293100e-05	6.21152608e-01	-2.76944479e-02	-1.39081533e-02	-1.37862946e-02
0.0039305566    	-6.24470222e-05	5.28624446e-01	-2.30581436e-02	-1.15915188e-02	-1.14666248e-02
0.0047165964    	-6.37767161e-05	4.37528580e-01	-1.72065734e-02	-8.66706343e-03	-8.53951000e-03
0.0056598146    	-6.47847156e-05	3.62606407e-01	-1.29619795e-02	-6.54577448e-03	-6.41620505e-03
0.0067915481    	-6.57643881e-05	2.97182014e-01	-1.18745266e-02	-6.00302770e-03	-5.87149892e-03
0.0081495053    	-6.71974092e-05	2.39731916e-01	-5.57655591e-03	-2.85547537e-03	-2.72108055e-03
0.0097786993    	-6.92606705e-05	1.94590953e-01	-9.68736600e-04	-5.53628971e-04	-4.15107630e-04
0.011733349     	-5.85127303e-05	1.60095157e-01	1.40397237e-02	6.96134914e-03	7.07837460e-03
0.014078562     	-5.79618383e-05	1.36366225e-01	4.05936471e-03	1.97172052e-03	2.08764419e-03
0.016720809     	-6.03948233e-05	1.07225091e-01	8.41607009e-03	4.14764022e-03	4.26842987e-03
0.019364459     	-6.20784767e-05	8.95836106e-02	7.55488090e-03	3.71536197e-03	3.83951892e-03
0.022009512     	-5.67953522e-05	8.12945060e-02	1.70354092e-02	8.46090925e-03	8.57449996e-03
0.024653161     	-5.87544906e-05	7.83357794e-02	9.08227416e-03	4.48238259e-03	4.59989157e-03
0.027295406     	-6.07249846e-05	8.60493987e-02	4.18850769e-03	2.03352886e-03	2.15497883e-03
0.029936247     	-6.30563849e-05	7.40323444e-02	4.76181280e-03	2.31785001e-03	2.44396278e-03
0.032575686     	-5.80818183e-05	6.53250642e-02	2.02453805e-02	1.00646084e-02	1.01807721e-02
0.035213724     	-6.10794235e-05	7.11874244e-02	8.18569584e-03	4.03176850e-03	4.15392734e-03
0.03785036      	-6.52531890e-05	7.16539862e-02	-2.85842957e-03	-1.49446797e-03	-1.36396159e-03
0.040486996     	-6.81969937e-05	6.83086915e-02	1.04120105e-03	4.52403531e-04	5.88797518e-04
0.043125035     	-6.43219400e-05	7.48084933e-02	6.96157796e-03	3.41646704e-03	3.54511092e-03
0.045764479     	-6.67068919e-05	7.11721838e-02	-1.46936640e-02	-7.41353888e-03	-7.28012510e-03
0.048405329     	-6.87192028e-05	7.49926300e-02	-8.18833054e-03	-4.16288447e-03	-4.02544607e-03
0.051049        	-7.13259752e-05	6.82451288e-02	-2.92234321e-03	-1.53249758e-03	-1.38984563e-03
0.053694083     	-6.58898123e-05	6.27101624e-02	-9.88646388e-04	-5.60213007e-04	-4.28433382e-04
0.05634768      	-6.68250849e-05	5.74550504e-02	5.25824921e-03	2.56229952e-03	2.69594969e-03
