#             x               p
           -0.5       0.6317583


    -0.49607843      0.60039269


    -0.49215686      0.56996957


    -0.48823529      0.54271145


    -0.48431373      0.51638689


    -0.48039216      0.48998989


    -0.47647059      0.46450982


    -0.47254902      0.43895985
    -0.46862745      0.41117295


    -0.46470588      0.38386093


    -0.46078431      0.35713793
    -0.45686275      0.33034627


    -0.45294118      0.30374761
    -0.44901961      0.27752905


    -0.44509804      0.25147057


    -0.44117647      0.22610039
     -0.4372549      0.20073516


    -0.43333333      0.17601511
    -0.42941176      0.15158581


     -0.4254902      0.12768945
    -0.42156863      0.10347339
    -0.41764706     0.079723168


    -0.41372549     0.055802095
    -0.40980392     0.032176389


    -0.40588235    0.0090785731
    -0.40196078    -0.013583593


    -0.39803922    -0.035958306
    -0.39411765    -0.058110967
    -0.39019608    -0.080012016


    -0.38627451     -0.10187399
    -0.38235294     -0.12359421


    -0.37843137     -0.14506038
     -0.3745098     -0.16607629
    -0.37058824      -0.1869352


    -0.36666667     -0.20741625
     -0.3627451     -0.22752975
    -0.35882353     -0.24752896


    -0.35490196     -0.26695695
    -0.35098039     -0.28611747
    -0.34705882      -0.3051984


    -0.34313725     -0.32351412
    -0.33921569     -0.34166574
    -0.33529412     -0.35976895


    -0.33137255     -0.37766457
    -0.32745098     -0.39552205
    -0.32352941     -0.41335819


    -0.31960784      -0.4302559
    -0.31568627     -0.44703019
    -0.31176471     -0.46380392


    -0.30784314     -0.47935004
    -0.30392157     -0.49455536
           -0.3     -0.50978935


    -0.29607843     -0.52481326
    -0.29215686     -0.53969849
    -0.28823529     -0.55462027


    -0.28431373     -0.56966276
    -0.28039216     -0.58493286
    -0.27647059     -0.60024286
    -0.27254902     -0.61559201


    -0.26862745     -0.63011817
    -0.26470588     -0.64467342
    -0.26078431     -0.65928404


    -0.25686275     -0.67265135
    -0.25294118      -0.6850689
    -0.24901961     -0.69756027


    -0.24509804     -0.71005078
    -0.24117647     -0.72182097
     -0.2372549     -0.73367192
    -0.23333333     -0.74560246


    -0.22941176     -0.75729921
     -0.2254902     -0.76883173
    -0.22156863     -0.78046304
    -0.21764706     -0.79219184


    -0.21372549     -0.80207669
    -0.20980392     -0.81196716
    -0.20588235     -0.82196511


    -0.20196078     -0.83171472
    -0.19803922     -0.84073566
    -0.19411765     -0.84986511
    -0.19019608      -0.8591019


    -0.18627451     -0.86740646
    -0.18235294     -0.87511356
    -0.17843137     -0.88293395
     -0.1745098     -0.89086651


    -0.17058824     -0.89737527
    -0.16666667     -0.90372032
     -0.1627451      -0.9101891


    -0.15882353     -0.91677925
    -0.15490196     -0.92345843
    -0.15098039     -0.93024605
    -0.14705882     -0.93714126


    -0.14313725      -0.9437442
    -0.13921569     -0.94896053
    -0.13529412     -0.95429276
    -0.13137255     -0.95974006


    -0.12745098     -0.96505998
    -0.12352941     -0.97001891
    -0.11960784     -0.97509089
    -0.11568627     -0.98027524


    -0.11176471     -0.98554472
    -0.10784314     -0.99090418
    -0.10392157     -0.99639341
           -0.1      -1.0020117


   -0.096078431      -1.0061403
   -0.092156863      -1.0087664
   -0.088235294      -1.0115259
   -0.084313725      -1.0144183


   -0.080392157      -1.0163909
   -0.076470588      -1.0175939
    -0.07254902      -1.0189307
   -0.068627451      -1.0204008


   -0.064705882      -1.0212334
   -0.060784314       -1.021587
   -0.056862745       -1.022072
   -0.052941176      -1.0226882


   -0.049019608       -1.023086
   -0.045098039      -1.0233277
   -0.041176471      -1.0236834
   -0.037254902      -1.0241527


   -0.033333333      -1.0244095
   -0.029411765      -1.0245259
   -0.025490196       -1.024772
   -0.021568627      -1.0251476


   -0.017647059      -1.0230649
    -0.01372549      -1.0188127
  -0.0098039216      -1.0146751
  -0.0058823529       -1.010652


  -0.0019607843      -1.0065766
   0.0019607843      -1.0024443
   0.0058823529     -0.99841496
   0.0098039216     -0.99448871


     0.01372549     -0.99155381
    0.017647059      -0.9896893
    0.021568627      -0.9879401
    0.025490196     -0.98630632


    0.029411765     -0.98447329
    0.033333333     -0.98237968
    0.037254902     -0.98039538
    0.041176471     -0.97852058


    0.045098039     -0.97625736
    0.049019608     -0.97348945
    0.052941176     -0.97084674
    0.056862745     -0.96832953


    0.060784314     -0.96520644
    0.064705882     -0.96127751
    0.068627451     -0.95747925
     0.07254902     -0.95381207


    0.076470588     -0.94861273
    0.080392157     -0.94149852
    0.084313725     -0.93450128
    0.088235294     -0.92762148


    0.092156863     -0.91973795
    0.096078431     -0.91075666
            0.1     -0.90189684
     0.10392157     -0.89315906


     0.10784314     -0.88376838
     0.11176471     -0.87378859
     0.11568627     -0.86389308
     0.11960784     -0.85408233


     0.12352941     -0.84458389
     0.12745098     -0.83530605
     0.13137255     -0.82610283
     0.13529412     -0.81697472


     0.13921569     -0.80894681
     0.14313725      -0.8013733
     0.14705882     -0.79385721
     0.15098039     -0.78639895


     0.15490196     -0.77650008
     0.15882353     -0.76628233
      0.1627451     -0.75613057


     0.16666667     -0.74601593
     0.17058824     -0.73540593
      0.1745098     -0.72484959
     0.17843137     -0.71434742


     0.18235294     -0.70385069
     0.18627451     -0.69327588
     0.19019608     -0.68275014
     0.19411765     -0.67227397


     0.19803922     -0.66148487
     0.20196078     -0.65044407
     0.20588235     -0.63945068
     0.20980392     -0.62850525


     0.21372549     -0.61775717
     0.21764706     -0.60709253
     0.22156863     -0.59649062


      0.2254902     -0.58547344
     0.22941176     -0.57302455
     0.23333333     -0.56061023
      0.2372549     -0.54823096


     0.24117647     -0.53555035
     0.24509804     -0.52273381
     0.24901961     -0.50994025


     0.25294118     -0.49724439
     0.25686275     -0.48493176
     0.26078431     -0.47263639
     0.26470588     -0.46035857


     0.26862745     -0.44663315
     0.27254902     -0.43235169
     0.27647059     -0.41806126


     0.28039216     -0.40394016
     0.28431373     -0.39012752
     0.28823529     -0.37628768


     0.29215686      -0.3624707
     0.29607843     -0.34965434
            0.3     -0.33680262
     0.30392157     -0.32391476


     0.30784314     -0.31086395
     0.31176471     -0.29774031
     0.31568627     -0.28457045


     0.31960784     -0.27169732
