#             x               p
           -0.5      0.63219739


    -0.49607843      0.59889879


    -0.49215686      0.57125276


    -0.48823529       0.5423099


    -0.48431373      0.51330501


    -0.48039216      0.48448846


    -0.47647059      0.45701136


    -0.47254902      0.43079795
    -0.46862745      0.40384534


    -0.46470588      0.37685308


    -0.46078431      0.35025385
    -0.45686275      0.32367599


    -0.45294118      0.29759273
    -0.44901961      0.27205927


    -0.44509804      0.24670523


    -0.44117647       0.2219932
     -0.4372549       0.1959229


    -0.43333333      0.17057647
    -0.42941176      0.14555212


     -0.4254902      0.12109162
    -0.42156863     0.097603971
    -0.41764706     0.074562651


    -0.41372549     0.050674888
    -0.40980392     0.026987096


    -0.40588235    0.0030476205
    -0.40196078    -0.020972843


    -0.39803922    -0.044678607
    -0.39411765    -0.068203132
    -0.39019608    -0.091471615


    -0.38627451     -0.11347602
    -0.38235294     -0.13493537


    -0.37843137     -0.15612891
     -0.3745098     -0.17660053
    -0.37058824      -0.1969367


    -0.36666667      -0.2172859
     -0.3627451     -0.23766685
    -0.35882353     -0.25793269


    -0.35490196     -0.27770846
    -0.35098039      -0.2972442
    -0.34705882     -0.31669499


    -0.34313725     -0.33548626
    -0.33921569     -0.35412293
    -0.33529412     -0.37270255


    -0.33137255     -0.39080561
    -0.32745098     -0.40883172
    -0.32352941     -0.42682233


    -0.31960784     -0.44513342
    -0.31568627     -0.46347323
    -0.31176471      -0.4817961


    -0.30784314     -0.49967736
    -0.30392157     -0.51744579
           -0.3     -0.53523199


    -0.29607843     -0.55140382
    -0.29215686     -0.56642466
    -0.28823529     -0.58149177


    -0.28431373     -0.59608907
    -0.28039216     -0.60959613
    -0.27647059     -0.62316425
    -0.27254902     -0.63679227


    -0.26862745     -0.65093984
    -0.26470588     -0.66516835
    -0.26078431     -0.67946235


    -0.25686275     -0.69313428
    -0.25294118     -0.70634814
    -0.24901961     -0.71964727


    -0.24509804     -0.73291563
    -0.24117647      -0.7450385
     -0.2372549      -0.7572723
    -0.23333333     -0.76961545


    -0.22941176     -0.78147983
     -0.2254902     -0.79296098
    -0.22156863     -0.80454352
    -0.21764706     -0.81622612


    -0.21372549     -0.82653276
    -0.20980392     -0.83686638
    -0.20588235     -0.84730404


    -0.20196078     -0.85747531
    -0.19803922     -0.86688561
    -0.19411765     -0.87640972
    -0.19019608     -0.88604639


    -0.18627451     -0.89399214
    -0.18235294      -0.9008334
    -0.17843137     -0.90780555
     -0.1745098     -0.91490733


    -0.17058824     -0.92285807
    -0.16666667     -0.93106028
     -0.1627451     -0.93937709


    -0.15882353      -0.9477752
    -0.15490196     -0.95562764
    -0.15098039     -0.96360068
    -0.14705882     -0.97169336


    -0.14313725     -0.97912701
    -0.13921569     -0.98376595
    -0.13529412     -0.98853738
    -0.13137255     -0.99344038


    -0.12745098     -0.99829762
    -0.12352941      -1.0029405
    -0.11960784      -1.0077158
    -0.11568627      -1.0126228


    -0.11176471      -1.0172734
    -0.10784314      -1.0215468
    -0.10392157      -1.0259531
           -0.1      -1.0304916


   -0.096078431      -1.0341096
   -0.092156863      -1.0368018
   -0.088235294      -1.0396329
   -0.084313725      -1.0426023


   -0.080392157      -1.0459744
   -0.076470588      -1.0497143
    -0.07254902      -1.0535948
   -0.068627451      -1.0576154


   -0.064705882      -1.0604875
   -0.060784314      -1.0624879
   -0.056862745      -1.0646404
   -0.052941176      -1.0669448


   -0.049019608      -1.0669138
   -0.045098039      -1.0650786
   -0.041176471       -1.063388
   -0.037254902      -1.0618417


   -0.033333333      -1.0603435
   -0.029411765      -1.0589038
   -0.025490196      -1.0575986
   -0.021568627      -1.0564278


   -0.017647059      -1.0550211
    -0.01372549      -1.0534115
  -0.0098039216      -1.0519231
  -0.0058823529      -1.0505557


  -0.0019607843      -1.0493174
   0.0019607843      -1.0482114
   0.0058823529      -1.0472307
   0.0098039216      -1.0463754


     0.01372549      -1.0443792
    0.017647059      -1.0411398
    0.021568627      -1.0380221
    0.025490196      -1.0350263


    0.029411765      -1.0317996
    0.033333333      -1.0282826
    0.037254902      -1.0248937
    0.041176471      -1.0216329


    0.045098039       -1.018282
    0.049019608       -1.014779
    0.052941176      -1.0113961
    0.056862745      -1.0081337


    0.060784314      -1.0035075
    0.064705882     -0.99710321
    0.068627451     -0.99081724
     0.07254902     -0.98464995


    0.076470588     -0.97859841
    0.080392157     -0.97265887
    0.084313725     -0.96683452
    0.088235294     -0.96112583


    0.092156863     -0.95469392
    0.096078431     -0.94746478
            0.1     -0.94034954
     0.10392157     -0.93334874


     0.10784314     -0.92570229
     0.11176471     -0.91749276
     0.11568627     -0.90938683
     0.11960784      -0.9013851


     0.12352941      -0.8935504
     0.12745098     -0.88585675
     0.13137255     -0.87826433
     0.13529412     -0.87077381


     0.13921569     -0.86204393
     0.14313725     -0.85289111
     0.14705882     -0.84383157
     0.15098039     -0.83486602


     0.15490196      -0.8246439
     0.15882353     -0.81431312
      0.1627451     -0.80408232


     0.16666667     -0.79394808
     0.17058824     -0.78382001
      0.1745098     -0.77376525
     0.17843137     -0.76378449


     0.18235294     -0.75345521
     0.18627451     -0.74208286
     0.19019608     -0.73077251
     0.19411765      -0.7195248


     0.19803922      -0.7078201
     0.20196078     -0.69574622
     0.20588235     -0.68373181
     0.20980392     -0.67177755


     0.21372549     -0.66013296
     0.21764706     -0.64857474
     0.22156863     -0.63706532


      0.2254902     -0.62554426
     0.22941176     -0.61388257
     0.23333333     -0.60226797
      0.2372549     -0.59070112


     0.24117647     -0.57900339
     0.24509804     -0.56726515
     0.24901961     -0.55557184


     0.25294118     -0.54351212
     0.25686275     -0.52946761
     0.26078431     -0.51544082
     0.26470588     -0.50143206


     0.26862745     -0.48709211
     0.27254902     -0.47262506
     0.27647059     -0.45816007


     0.28039216     -0.44388523
     0.28431373     -0.42995722
     0.28823529      -0.4160276


     0.29215686     -0.40212605
     0.29607843     -0.38881203
            0.3     -0.37546299
     0.30392157     -0.36207816


     0.30784314      -0.3490277
     0.31176471     -0.33601791
     0.31568627     -0.32296381


     0.31960784     -0.30939264
     0.32352941     -0.29552572
     0.32745098     -0.28159878


     0.33137255      -0.2684365
     0.33529412     -0.25577435
     0.33921569     -0.24303675


     0.34313725     -0.23097504
     0.34705882     -0.21932732
     0.35098039     -0.20759294


     0.35490196      -0.1964963
     0.35882353     -0.18562028
      0.3627451     -0.17465102


     0.36666667     -0.16496216
     0.37058824      -0.1553521


      0.3745098     -0.14602377
     0.37843137     -0.13849433
     0.38235294     -0.13088114


     0.38627451     -0.12445424
     0.39019608     -0.11903183


     0.39411765     -0.11357811
     0.39803922     -0.11042447
     0.40196078      -0.1072298


     0.40588235     -0.10526447
     0.40980392     -0.10417607


     0.41372549     -0.10333744
     0.41764706     -0.10322811


     0.42156863     -0.10312412
      0.4254902     -0.10299908
     0.42941176     -0.10287844


     0.43333333     -0.10261699
      0.4372549     -0.10234386


     0.44117647     -0.10201896


     0.44509804     -0.10169689
     0.44901961     -0.10158679


     0.45294118     -0.10150944
     0.45686275     -0.10151686


     0.46078431     -0.10140217


     0.46470588     -0.10119957
     0.46862745     -0.10102461


     0.47254902      -0.1007229


     0.47647059      -0.1002364


     0.48039216    -0.099438222


     0.48431373    -0.098056494


     0.48823529    -0.096230735


     0.49215686    -0.093912491


     0.49607843    -0.090271983


            0.5     -0.08413817
