#             x               p
           -0.5      0.63543401


    -0.49607843       0.6016367


    -0.49215686      0.57359113


    -0.48823529      0.54429113


    -0.48431373      0.51495687


    -0.48039216      0.48583752


    -0.47647059      0.45808539


    -0.47254902       0.4316158
    -0.46862745      0.40441546


    -0.46470588      0.37719408


    -0.46078431      0.35038135
    -0.45686275      0.32360988


    -0.45294118       0.2973563
    -0.44901961       0.2716687


    -0.44509804      0.24618162


    -0.44117647      0.22134132
     -0.4372549      0.19512798


    -0.43333333       0.1696429
    -0.42941176      0.14450002


     -0.4254902      0.11992339
    -0.42156863     0.096361583
    -0.41764706     0.073246147


    -0.41372549     0.049288771
    -0.40980392     0.025532069


    -0.40588235    0.0015252628
    -0.40196078    -0.022561512


    -0.39803922    -0.046330512
    -0.39411765    -0.069906681
    -0.39019608    -0.093227235


    -0.38627451     -0.11526928
    -0.38235294     -0.13676169


    -0.37843137      -0.1579866
     -0.3745098     -0.17847696
    -0.37058824     -0.19883272


    -0.36666667     -0.21919807
     -0.3627451     -0.23959145
    -0.35882353     -0.25987047


    -0.35490196     -0.27965975
    -0.35098039     -0.29920952
    -0.34705882     -0.31867498


    -0.34313725      -0.3374806
    -0.33921569     -0.35613211
    -0.33529412     -0.37472721


    -0.33137255     -0.39283389
    -0.32745098      -0.4108632
    -0.32352941     -0.42885776


    -0.31960784     -0.44716408
    -0.31568627     -0.46549864
    -0.31176471     -0.48381701


    -0.30784314     -0.50169033
    -0.30392157     -0.51945023
           -0.3     -0.53722857


    -0.29607843     -0.55338975
    -0.29215686     -0.56839804
    -0.28823529     -0.58345317


    -0.28431373     -0.59804134
    -0.28039216     -0.61154483
    -0.27647059     -0.62510986
    -0.27254902     -0.63873527


    -0.26862745     -0.65288484
    -0.26470588     -0.66711599
    -0.26078431      -0.6814131


    -0.25686275     -0.69508121
    -0.25294118     -0.70828596
    -0.24901961     -0.72157647


    -0.24509804     -0.73483729
    -0.24117647     -0.74695918
     -0.2372549     -0.75919243
    -0.23333333     -0.77153545


    -0.22941176     -0.78340767
     -0.2254902     -0.79490328
    -0.22156863      -0.8065006
    -0.21764706     -0.81819831


    -0.21372549     -0.82851843
    -0.20980392     -0.83886574
    -0.20588235     -0.84931742


    -0.20196078     -0.85950712
    -0.19803922      -0.8689458
    -0.19411765     -0.87849857
    -0.19019608     -0.88816422


    -0.18627451      -0.8961804
    -0.18235294      -0.9031205
    -0.17843137     -0.91019175
     -0.1745098     -0.91739288


    -0.17058824     -0.92551042
    -0.16666667     -0.93389277
     -0.1627451     -0.94239055


    -0.15882353     -0.95097122
    -0.15490196     -0.95902479
    -0.15098039     -0.96720312
    -0.14705882     -0.97550523


    -0.14313725     -0.98313188
    -0.13921569     -0.98789087
    -0.13529412     -0.99278657
    -0.13137255     -0.99781802


    -0.12745098      -1.0028458
    -0.12352941      -1.0077371
    -0.11960784      -1.0127638
    -0.11568627       -1.017925


    -0.11176471      -1.0228445
    -0.10784314       -1.027406
    -0.10392157      -1.0321042
           -0.1      -1.0369384


   -0.096078431      -1.0407643
   -0.092156863      -1.0435802
   -0.088235294      -1.0465444
   -0.084313725      -1.0496564


   -0.080392157      -1.0529342
   -0.076470588      -1.0563763
    -0.07254902      -1.0599664
   -0.068627451      -1.0637041


   -0.064705882      -1.0662606
   -0.060784314      -1.0679176
   -0.056862745      -1.0697297
   -0.052941176      -1.0716964


   -0.049019608      -1.0716966
   -0.045098039      -1.0701833
   -0.041176471      -1.0688183
   -0.037254902      -1.0676012


   -0.033333333      -1.0663467
   -0.029411765      -1.0650843
   -0.025490196      -1.0639643
   -0.021568627      -1.0629867


   -0.017647059       -1.061331
    -0.01372549       -1.059082
  -0.0098039216      -1.0569612
  -0.0058823529      -1.0549686


  -0.0019607843      -1.0529321
   0.0019607843      -1.0508545
   0.0058823529      -1.0489029
   0.0098039216      -1.0470773


     0.01372549       -1.044213
    0.017647059      -1.0402115
    0.021568627      -1.0363272
    0.025490196      -1.0325603


