#             x               p
           -0.5      0.63858156


    -0.49607843      0.60867274


    -0.49215686      0.57831655


    -0.48823529      0.55099495


    -0.48431373      0.52453605


    -0.48039216      0.49795835


    -0.47647059      0.47225512


    -0.47254902      0.44640292
    -0.46862745      0.41834883


    -0.46470588       0.3907762


    -0.46078431      0.36377854
    -0.45686275      0.33663067


    -0.45294118       0.3096967
    -0.44901961      0.28315959


    -0.44509804      0.25677234


    -0.44117647      0.23108052
     -0.4372549      0.20538308


    -0.43333333      0.18033915
    -0.42941176      0.15558293


     -0.4254902      0.13136703
    -0.42156863      0.10681983
    -0.41764706      0.08274523


    -0.41372549     0.058493083
    -0.40980392     0.034539973


    -0.40588235     0.011118509
    -0.40196078    -0.011863615


    -0.39803922     -0.03455607
    -0.39411765    -0.057030931
    -0.39019608    -0.079250252


    -0.38627451      -0.1014351
    -0.38235294     -0.12347779


    -0.37843137     -0.14526356
     -0.3745098     -0.16659823
    -0.37058824     -0.18777328


    -0.36666667     -0.20856848
     -0.3627451     -0.22899453
    -0.35882353     -0.24930427


    -0.35490196     -0.26904014
    -0.35098039     -0.28850667
    -0.34705882     -0.30789212


    -0.34313725      -0.3265054
    -0.33921569     -0.34495268
    -0.33529412     -0.36335057


    -0.33137255     -0.38153576
    -0.32745098     -0.39968191
    -0.32352941     -0.41780623


    -0.31960784     -0.43498326
    -0.31568627      -0.4520356
    -0.31176471     -0.46908726


    -0.30784314     -0.48489712
    -0.30392157     -0.50036229
           -0.3     -0.51585649


    -0.29607843     -0.53113288
    -0.29215686     -0.54626523
    -0.28823529     -0.56143471


    -0.28431373      -0.5767262
    -0.28039216     -0.59224761
    -0.27647059     -0.60780959
    -0.27254902     -0.62341135


    -0.26862745     -0.63818106
    -0.26470588     -0.65298047
    -0.26078431     -0.66783619


    -0.25686275     -0.68143319
    -0.25294118     -0.69406878
    -0.24901961     -0.70677938


    -0.24509804     -0.71949029
    -0.24117647     -0.73148202
     -0.2372549     -0.74355579
    -0.23333333     -0.75571042


    -0.22941176     -0.76764144
     -0.2254902     -0.77941725
    -0.22156863     -0.79129353
    -0.21764706     -0.80326895


    -0.21372549     -0.81345311
    -0.20980392     -0.82364765
    -0.20588235     -0.83395172


    -0.20196078     -0.84399166
    -0.19803922     -0.85326365
    -0.19411765     -0.86264723
    -0.19019608      -0.8721412


    -0.18627451     -0.88120539
    -0.18235294     -0.89001949
    -0.17843137     -0.89895346
     -0.1745098     -0.90800612


    -0.17058824     -0.91509925
    -0.16666667     -0.92193608
     -0.1627451     -0.92890569


    -0.15882353     -0.93596682
    -0.15490196      -0.9423288
    -0.15098039     -0.94880809
    -0.14705882     -0.95540377


    -0.14313725     -0.96195953
    -0.13921569     -0.96805333
    -0.13529412     -0.97427287
    -0.13137255     -0.98061727


    -0.12745098     -0.98632255
    -0.12352941     -0.99065394
    -0.11960784     -0.99511033
    -0.11568627     -0.99969096


    -0.11176471       -1.004139
    -0.10784314      -1.0083831
    -0.10392157      -1.0127633
           -0.1       -1.017279


   -0.096078431      -1.0213364
   -0.092156863        -1.02493
   -0.088235294       -1.028659
   -0.084313725      -1.0325229


   -0.080392157      -1.0351087
   -0.076470588      -1.0366183
    -0.07254902      -1.0382642
   -0.068627451      -1.0400459


   -0.064705882      -1.0411022
   -0.060784314      -1.0416186
   -0.056862745      -1.0422792
   -0.052941176      -1.0430837


   -0.049019608      -1.0441599
   -0.045098039        -1.04547
   -0.041176471      -1.0469107
   -0.037254902      -1.0484817


   -0.033333333      -1.0486418
   -0.029411765      -1.0476853
   -0.025490196      -1.0468763
   -0.021568627      -1.0462145


   -0.017647059      -1.0432394
    -0.01372549      -1.0382204
  -0.0098039216      -1.0333279
  -0.0058823529      -1.0285618


  -0.0019607843      -1.0258243
   0.0019607843      -1.0250567
   0.0058823529      -1.0244011
   0.0098039216      -1.0238577


     0.01372549      -1.0227437
    0.017647059      -1.0210315
    0.021568627      -1.0194672
    0.025490196      -1.0180508


    0.029411765      -1.0148957
    0.033333333      -1.0096494
    0.037254902      -1.0045338
    0.041176471     -0.99954931


    0.045098039     -0.99488959
    0.049019608     -0.99060075
    0.052941176     -0.98643871
    0.056862745     -0.98240377


    0.060784314     -0.97750443
    0.064705882     -0.97146133
    0.068627451     -0.96554057
     0.07254902     -0.95974254


    0.076470588      -0.9531299
    0.080392157     -0.94547577
    0.084313725     -0.93792129
    0.088235294     -0.93046683


    0.092156863     -0.92293105
    0.096078431     -0.91530394
            0.1      -0.9077852
     0.10392157     -0.90037536


     0.10784314     -0.89202474
     0.11176471     -0.88283913
     0.11568627     -0.87373622
     0.11960784     -0.86471646


     0.12352941      -0.8556275
     0.12745098     -0.84651803
     0.13137255     -0.83748381
     0.13529412     -0.82852533


     0.13921569     -0.82065705
     0.14313725     -0.81324056
     0.14705882     -0.80588308
     0.15098039     -0.79858507


     0.15490196     -0.78857981
     0.15882353     -0.77821542
      0.1627451     -0.76791792


     0.16666667     -0.75767366
     0.17058824     -0.74722258
      0.1745098     -0.73682783
     0.17843137     -0.72648993


     0.18235294     -0.71608633
     0.18627451     -0.70541322
     0.19019608     -0.69479118
     0.19411765     -0.68422075


     0.19803922     -0.67307771
     0.20196078       -0.661468
     0.20588235     -0.64990627
     0.20980392     -0.63839308


     0.21372549     -0.62763179
     0.21764706     -0.61703749
     0.22156863     -0.60650645


      0.2254902     -0.59553168
     0.22941176     -0.58303663
     0.23333333     -0.57057711
      0.2372549     -0.55815364


     0.24117647     -0.54456176
     0.24509804     -0.53041344
     0.24901961     -0.51628025


     0.25294118     -0.50229374
     0.25686275     -0.48895368
     0.26078431      -0.4756104
     0.26470588     -0.46226382


     0.26862745     -0.44892636
     0.27254902     -0.43557808
     0.27647059     -0.42221208


     0.28039216     -0.40894787
     0.28431373     -0.39588149
     0.28823529     -0.38278884


     0.29215686     -0.36968249
     0.29607843     -0.35681248
            0.3       -0.343907
     0.30392157     -0.33096526


     0.30784314     -0.31779598
     0.31176471     -0.30453914
     0.31568627     -0.29123585


     0.31960784     -0.27818828
     0.32352941     -0.26523581
     0.32745098       -0.252221


     0.33137255     -0.23966942
     0.33529412     -0.22741051
     0.33921569     -0.21507596


     0.34313725       -0.203299
     0.34705882     -0.19185715
     0.35098039     -0.18032748


     0.35490196     -0.17019771
     0.35882353     -0.16061936
      0.3627451      -0.1509532


