#             x               p
           -0.5      0.63278221


    -0.49607843       0.6011913


    -0.49215686      0.57070651


    -0.48823529      0.54340473


    -0.48431373      0.51704528


    -0.48039216      0.49061629


    -0.47647059      0.46511322


    -0.47254902      0.43955652
    -0.46862745      0.41174252


    -0.46470588      0.38440189


    -0.46078431      0.35765495
    -0.45686275      0.33085837


    -0.45294118      0.30424972
    -0.44901961      0.27801799


    -0.44509804      0.25194896


    -0.44117647      0.22656881
     -0.4372549      0.20119555


    -0.43333333      0.17646762
    -0.42941176      0.15203135


     -0.4254902      0.12812806
    -0.42156863      0.10390508
    -0.41764706     0.080147953


    -0.41372549      0.05621991
    -0.40980392      0.03258723


    -0.40588235    0.0094825313
    -0.40196078    -0.013186454


    -0.39803922     -0.03556813
    -0.39411765      -0.0577283
    -0.39019608    -0.079636849


    -0.38627451      -0.1015067
    -0.38235294     -0.12323494


    -0.37843137     -0.14470914
     -0.3745098     -0.16573327
    -0.37058824     -0.18660039


    -0.36666667     -0.20708978
     -0.3627451     -0.22721175
    -0.35882353     -0.24721944


    -0.35490196     -0.26665608
    -0.35098039     -0.28582532
    -0.34705882     -0.30491499


    -0.34313725     -0.32323914
    -0.33921569     -0.34139918
    -0.33529412     -0.35951083


    -0.33137255      -0.3774149
    -0.32745098      -0.3952809
    -0.32352941     -0.41312559


    -0.31960784     -0.43003073
    -0.31568627     -0.44681236
    -0.31176471     -0.46359346


    -0.30784314     -0.47914656
    -0.30392157     -0.49435879
           -0.3     -0.50959975


    -0.29607843     -0.52463041
    -0.29215686     -0.53952224
    -0.28823529     -0.55445071


    -0.28431373     -0.56949967
    -0.28039216     -0.58477575
    -0.27647059      -0.6000918
    -0.27254902     -0.61544706


    -0.26862745      -0.6299807
    -0.26470588     -0.64454351
    -0.26078431     -0.65916177


    -0.25686275     -0.67253737
    -0.25294118     -0.68496375
    -0.24901961       -0.697464


    -0.24509804     -0.70996356
    -0.24117647     -0.72174391
     -0.2372549     -0.73360508
    -0.23333333      -0.7455459


    -0.22941176     -0.75725445
     -0.2254902     -0.76880006
    -0.22156863     -0.78044451
    -0.21764706      -0.7921865


    -0.21372549     -0.80208841
    -0.20980392     -0.81199619
    -0.20588235     -0.82201147


    -0.20196078     -0.83177983
    -0.19803922     -0.84082284
    -0.19411765     -0.84997436
    -0.19019608     -0.85923324


    -0.18627451     -0.86756413
    -0.18235294     -0.87530047
    -0.17843137     -0.88315007
     -0.1745098     -0.89111184


    -0.17058824     -0.89764811
    -0.16666667      -0.9040204
     -0.1627451     -0.91051647


    -0.15882353     -0.91713305
    -0.15490196     -0.92382009
    -0.15098039     -0.93061557
    -0.14705882     -0.93751863


    -0.14313725     -0.94418803
    -0.13921569     -0.94969096
    -0.13529412     -0.95530962
    -0.13137255      -0.9610432


    -0.12745098     -0.96639527
    -0.12352941     -0.97088654
    -0.11960784     -0.97548947
    -0.11568627     -0.98020337


    -0.11176471     -0.98513705
    -0.10784314     -0.99033755
    -0.10392157     -0.99566536
           -0.1      -1.0011198


   -0.096078431      -1.0058745
   -0.092156863      -1.0099255
   -0.088235294      -1.0141089
   -0.084313725       -1.018424


   -0.080392157      -1.0213306
   -0.076470588      -1.0230555
    -0.07254902      -1.0249224
   -0.068627451      -1.0269309


   -0.064705882      -1.0279998
   -0.060784314      -1.0283575
   -0.056862745      -1.0288619
   -0.052941176      -1.0295126


   -0.049019608      -1.0294193
   -0.045098039      -1.0287553
   -0.041176471      -1.0282135
   -0.037254902      -1.0277936


   -0.033333333      -1.0277262
   -0.029411765      -1.0279808
   -0.025490196      -1.0283719
   -0.021568627      -1.0288994


   -0.017647059      -1.0281201
    -0.01372549      -1.0261909
  -0.0098039216      -1.0243842
  -0.0058823529      -1.0227001


  -0.0019607843       -1.020503
   0.0019607843      -1.0178085
   0.0058823529      -1.0152358
   0.0098039216      -1.0127847


     0.01372549      -1.0101998
    0.017647059      -1.0074769
    0.021568627      -1.0048975
    0.025490196      -1.0024617


    0.029411765     -0.99926705
    0.033333333     -0.99513813
    0.037254902     -0.99113566
    0.041176471     -0.98725985


    0.045098039     -0.98325365
    0.049019608     -0.97905104
    0.052941176     -0.97497518
    0.056862745     -0.97102639


    0.060784314     -0.96561842
    0.064705882     -0.95830301
    0.068627451      -0.9511047
     0.07254902     -0.94402388


    0.076470588     -0.93670852
    0.080392157     -0.92906124
    0.084313725     -0.92150641
    0.088235294     -0.91404437


    0.092156863     -0.90803864
    0.096078431     -0.90361983
            0.1     -0.89931286
     0.10392157     -0.89511828


     0.10784314     -0.88901316
     0.11176471     -0.88122983
     0.11568627     -0.87354493
     0.11960784     -0.86595902


     0.12352941     -0.85674154
     0.12745098     -0.84651676
     0.13137255      -0.8363829
     0.13529412     -0.82634054


     0.13921569     -0.81740065
     0.14313725     -0.80892162
     0.14705882     -0.80051123
     0.15098039     -0.79217002

